kappa,Recycle_Rate
0.01,0.85
0.01,0.89
0.01,0.91
0.01,0.91
0.01,0.88
0.01,0.92
0.01,0.88
0.01,0.87
0.01,0.89
0.01,0.9
0.01,0.8
0.01,0.89
0.01,0.92
0.01,0.85
0.01,0.84
0.01,0.87
0.01,0.87
0.01,0.77
0.01,0.9
0.01,0.87
0.01,0.88
0.01,0.88
0.01,0.84
0.01,0.82
0.01,0.86
0.01,0.88
0.01,0.93
0.01,0.9
0.01,0.8
0.01,0.96
0.01,0.89
0.01,0.9
0.01,0.89
0.01,0.83
0.01,0.88
0.01,0.9
0.01,0.83
0.01,0.9
0.01,0.86
0.01,0.87
0.01,0.87
0.01,0.91
0.01,0.86
0.01,0.87
0.01,0.88
0.01,0.89
0.01,0.88
0.01,0.92
0.01,0.95
0.01,0.85
0.01,0.88
0.01,0.93
0.01,0.91
0.01,0.87
0.01,0.9
0.01,0.79
0.01,0.9
0.01,0.88
0.01,0.91
0.01,0.92
0.01,0.86
0.01,0.8
0.01,0.86
0.01,0.88
0.01,0.87
0.01,0.87
0.01,0.87
0.01,0.84
0.01,0.89
0.01,0.85
0.01,0.93
0.01,0.92
0.01,0.87
0.01,0.91
0.01,0.79
0.01,0.88
0.01,0.85
0.01,0.92
0.01,0.89
0.01,0.89
0.01,0.89
0.01,0.83
0.01,0.91
0.01,0.84
0.01,0.85
0.01,0.96
0.01,0.83
0.01,0.87
0.01,0.9
0.01,0.88
0.01,0.89
0.01,0.85
0.01,0.95
0.01,0.9
0.01,0.88
0.01,0.91
0.01,0.92
0.01,0.89
0.01,0.89
0.01,0.91
0.01,0.83
0.01,0.88
0.01,0.85
0.01,0.91
0.01,0.85
0.01,0.89
0.01,0.91
0.01,0.89
0.01,0.93
0.01,0.9
0.01,0.9
0.01,0.85
0.01,0.96
0.01,0.85
0.01,0.93
0.01,0.91
0.01,0.9
0.01,0.85
0.01,0.91
0.01,0.9
0.01,0.82
0.01,0.87
0.01,0.9
0.01,0.9
0.01,0.92
0.01,0.84
0.01,0.93
0.01,0.87
0.01,0.85
0.01,0.92
0.01,0.89
0.01,0.85
0.01,0.86
0.01,0.88
0.01,0.89
0.01,0.92
0.01,0.91
0.01,0.94
0.01,0.91
0.01,0.87
0.01,0.92
0.01,0.91
0.01,0.88
0.01,0.88
0.01,0.89
0.01,0.86
0.01,0.89
0.01,0.9
0.01,0.9
0.01,0.9
0.01,0.9
0.01,0.87
0.01,0.89
0.01,0.88
0.01,0.94
0.01,0.91
0.01,0.9
0.01,0.84
0.01,0.89
0.01,0.88
0.01,0.84
0.01,0.86
0.01,0.84
0.01,0.86
0.01,0.92
0.01,0.88
0.01,0.92
0.01,0.92
0.01,0.86
0.01,0.87
0.01,0.89
0.01,0.92
0.01,0.86
0.01,0.92
0.01,0.85
0.01,0.88
0.01,0.94
0.01,0.83
0.01,0.87
