memory_length,Recycle_Rate
1,0.68
1,0.75
1,0.57
1,0.72
1,0.68
1,0.75
1,0.81
1,0.6
1,0.59
1,0.85
1,0.58
1,0.79
1,0.47
1,0.93
1,0.87
1,0.91
1,0.97
1,0.95
1,0.76
1,0.68
1,0.83
1,0.85
1,0.73
1,0.74
1,0.81
1,0.81
1,0.81
1,0.73
1,0.99
1,0.72
1,0.65
1,0.83
1,0.73
1,0.77
1,0.55
1,0.53
1,0.72
1,0.78
1,0.72
1,0.87
1,0.53
1,0.98
1,0.74
1,0.69
1,0.98
1,0.79
1,0.59
1,0.7
1,0.61
1,0.44
6,0.79
6,0.78
6,0.78
6,0.85
6,0.95
6,0.75
6,0.85
6,0.81
6,0.89
6,0.87
6,0.87
6,0.8
6,0.9
6,0.88
6,0.79
6,0.89
6,0.88
6,0.78
6,0.76
6,0.9
6,0.89
6,0.93
6,0.92
6,0.88
6,0.76
6,0.86
6,0.85
6,0.9
6,0.99
6,0.76
6,0.82
6,0.7
6,0.9
6,0.89
6,0.87
6,0.83
6,0.78
6,0.77
6,0.91
6,0.85
6,0.8
6,0.9
6,0.87
6,0.93
6,0.92
6,0.92
6,0.89
6,0.89
6,0.85
6,0.75
11,0.87
11,0.87
11,0.89
11,0.91
11,0.86
11,0.81
11,0.89
11,0.91
11,0.9
11,0.92
11,0.84
11,0.82
11,0.86
11,0.93
11,0.9
11,0.83
11,0.87
11,0.83
11,0.94
11,0.87
11,0.83
11,0.92
11,0.92
11,0.88
11,0.89
11,0.83
11,0.89
11,0.91
11,0.93
11,0.91
11,0.85
11,0.89
11,0.88
11,0.9
11,0.86
11,0.88
11,0.81
11,0.86
11,0.86
11,0.78
11,0.87
11,0.91
11,0.86
11,0.91
11,0.87
11,0.8
11,0.88
11,0.88
11,0.94
11,0.92
16,0.82
16,0.87
16,0.91
16,0.9
16,0.76
16,0.9
16,0.92
16,0.83
16,0.9
16,0.88
16,0.86
16,0.85
16,0.93
16,0.89
16,0.8
16,0.9
16,0.82
16,0.88
16,0.88
16,0.89
16,0.83
16,0.9
16,0.83
16,0.88
16,0.79
16,0.88
16,0.88
16,0.88
16,0.85
16,0.92
16,0.91
16,0.92
16,0.9
16,0.86
16,0.94
16,0.91
16,0.86
16,0.88
16,0.85
16,0.86
16,0.91
16,0.93
16,0.83
16,0.87
16,0.91
16,0.86
16,0.82
16,0.9
16,0.88
16,0.92
21,0.92
21,0.87
21,0.84
21,0.88
21,0.93
21,0.93
21,0.89
21,0.93
21,0.91
21,0.9
21,0.84
21,0.87
21,0.9
21,0.81
21,0.88
21,0.82
21,0.85
21,0.87
21,0.87
21,0.91
21,0.88
21,0.89
21,0.89
21,0.85
21,0.89
21,0.88
21,0.92
21,0.92
21,0.89
21,0.87
21,0.88
21,0.85
21,0.92
21,0.87
21,0.88
21,0.9
21,0.88
21,0.9
21,0.79
21,0.96
21,0.93
21,0.9
21,0.92
21,0.9
21,0.86
21,0.88
21,0.88
21,0.87
21,0.87
21,0.87
26,0.91
26,0.91
26,0.85
26,0.88
26,0.86
26,0.83
26,0.86
26,0.82
26,0.92
26,0.9
26,0.86
26,0.86
26,0.92
26,0.88
26,0.94
26,0.9
26,0.87
26,0.88
26,0.83
26,0.89
26,0.81
26,0.87
26,0.85
26,0.91
26,0.97
26,0.8
26,0.91
26,0.92
26,0.83
26,0.88
26,0.89
26,0.88
26,0.91
26,0.89
26,0.88
26,0.88
26,0.9
26,0.92
26,0.93
26,0.9
26,0.87
26,0.89
26,0.9
26,0.89
26,0.85
26,0.9
26,0.89
26,0.91
26,0.9
26,0.9
31,0.89
31,0.86
31,0.94
