delta,alpha,lambda_param,Recycle_Rate,Run
0.110546875,0.398828125,1.535546875,0.88,0
0.272265625,0.398828125,1.535546875,0.92,1
0.110546875,0.912109375,1.535546875,0.92,2
0.110546875,0.398828125,3.4113281250000003,0.92,3
0.110546875,0.912109375,3.4113281250000003,0.92,4
0.272265625,0.398828125,3.4113281250000003,0.88,5
0.272265625,0.912109375,1.535546875,0.97,6
0.272265625,0.912109375,3.4113281250000003,0.93,7
0.560546875,0.848828125,3.9855468750000003,0.95,8
0.722265625,0.848828125,3.9855468750000003,0.97,9
0.560546875,0.46210937500000004,3.9855468750000003,0.97,10
0.560546875,0.848828125,0.9613281250000001,0.97,11
0.560546875,0.46210937500000004,0.9613281250000001,0.97,12
0.722265625,0.848828125,0.9613281250000001,0.97,13
0.722265625,0.46210937500000004,3.9855468750000003,0.96,14
0.722265625,0.46210937500000004,0.9613281250000001,0.92,15
0.785546875,0.173828125,0.310546875,0.68,16
0.49726562500000004,0.173828125,0.310546875,0.68,17
0.785546875,0.237109375,0.310546875,0.82,18
0.785546875,0.173828125,2.186328125,0.71,19
0.785546875,0.237109375,2.186328125,0.82,20
0.49726562500000004,0.173828125,2.186328125,0.71,21
0.49726562500000004,0.237109375,0.310546875,0.82,22
0.49726562500000004,0.237109375,2.186328125,0.82,23
0.335546875,0.623828125,2.760546875,0.82,24
0.947265625,0.623828125,2.760546875,0.98,25
0.335546875,0.687109375,2.760546875,0.98,26
0.335546875,0.623828125,4.636328125,0.98,27
0.335546875,0.687109375,4.636328125,0.98,28
0.947265625,0.623828125,4.636328125,0.95,29
0.947265625,0.687109375,2.760546875,0.93,30
0.947265625,0.687109375,4.636328125,0.97,31
0.44804687500000007,0.28632812500000004,4.598046875,0.93,32
0.834765625,0.28632812500000004,4.598046875,0.98,33
0.44804687500000007,0.574609375,4.598046875,0.97,34
0.44804687500000007,0.28632812500000004,2.7988281250000004,0.98,35
0.44804687500000007,0.574609375,2.7988281250000004,0.98,36
0.834765625,0.28632812500000004,2.7988281250000004,0.98,37
0.834765625,0.574609375,4.598046875,0.98,38
0.834765625,0.574609375,2.7988281250000004,0.98,39
0.898046875,0.736328125,2.1480468750000004,0.98,40
0.384765625,0.736328125,2.1480468750000004,0.98,41
0.898046875,0.12460937500000001,2.1480468750000004,0.97,42
0.898046875,0.736328125,0.34882812500000004,0.97,43
0.898046875,0.12460937500000001,0.34882812500000004,0.93,44
0.384765625,0.736328125,0.34882812500000004,0.95,45
0.384765625,0.12460937500000001,2.1480468750000004,0.93,46
0.384765625,0.12460937500000001,0.34882812500000004,0.97,47
0.673046875,0.511328125,3.3730468750000004,0.93,48
0.609765625,0.511328125,3.3730468750000004,0.93,49
0.673046875,0.349609375,3.3730468750000004,0.98,50
0.673046875,0.511328125,1.5738281250000001,0.98,51
0.673046875,0.349609375,1.5738281250000001,0.98,52
0.609765625,0.511328125,1.5738281250000001,0.98,53
0.609765625,0.349609375,3.3730468750000004,0.93,54
0.609765625,0.349609375,1.5738281250000001,0.97,55
0.223046875,0.961328125,0.923046875,0.93,56
0.15976562500000002,0.961328125,0.923046875,0.97,57
0.223046875,0.799609375,0.923046875,0.95,58
0.223046875,0.961328125,4.0238281250000005,0.95,59
0.223046875,0.799609375,4.0238281250000005,0.93,60
0.15976562500000002,0.961328125,4.0238281250000005,0.93,61
0.15976562500000002,0.799609375,0.923046875,0.97,62
0.15976562500000002,0.799609375,4.0238281250000005,0.97,63
0.279296875,0.117578125,3.6792968750000004,0.93,64
0.328515625,0.117578125,3.6792968750000004,0.93,65
0.279296875,0.5183593750000001,3.6792968750000004,0.98,66
0.279296875,0.117578125,4.942578125,0.98,67
0.279296875,0.5183593750000001,4.942578125,0.98,68
