lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
10,1.738543538938449,0.5,0.01,0.8,0.010000000000000009,0.27647328282226613,-1507.5793598591208,5.470360996835818e-203,-1541.5298746010665,0.0,4316,3
10,1.983039073260127,0.5,0.01,0.9,0.010000000000000009,0.24545821674790788,-733.7836529534708,1.6811104550962754e-91,-834.1279242114969,1.1219330510361093e-187,3829,3
10,2.190833651295166,0.5,0.01,0.95,0.010000000000000009,0.23812227862565702,-457.0904658523404,3.284295572680048e-58,-529.6455499105178,1.9077417500922192e-106,3369,3
10,1.7641275510591452,0.5,0.03,0.8,0.010000000000000009,0.28174421711424624,-1417.5341478791402,2.7849404761703115e-181,-1464.4564974064256,0.0,4248,3
10,2.031205810456739,0.5,0.03,0.9,0.010000000000000009,0.2578348248458284,-728.1987541429215,2.0081121607365442e-92,-790.2811520510783,3.5097774744385664e-201,3666,3
10,2.096798647085332,0.5,0.03,0.95,0.010000000000000009,0.24793683386498738,-556.1464250542845,2.1582744898859709e-69,-635.5330407274096,4.5320292858637076e-138,3441,3
10,1.783185453359561,0.5,0.05,0.8,0.010000000000000009,0.2748824071465406,-1372.5942732353856,2.859663248725153e-179,-1417.5148969850816,0.0,4241,3
10,2.0485365600946475,0.5,0.05,0.9,0.010000000000000009,0.24287182416132563,-645.1467594568517,5.421216541873609e-81,-735.2985271824521,1.3862172766767105e-166,3665,3
10,2.2165863636498733,0.5,0.05,0.95,0.010000000000000009,0.23697582545886775,-408.4795883428916,5.439512053899464e-50,-489.7724491570007,8.963398534496077e-91,3285,3
10,1.7453488900510565,0.7,0.01,0.8,0.010000000000000009,0.280674341466792,-1504.7525132004441,1.0754457166015981e-189,-1559.5362349722063,0.0,4379,3
10,1.987128922334841,0.7,0.01,0.9,0.010000000000000009,0.2557073543507403,-759.087682762131,1.0399619535185399e-95,-846.890694101394,1.5407140918665399e-201,3828,3
